regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
0,0.0017118718,0.0029956717,0.064231515,0.46662167,0.33373463,0.09453248,0.040879704
0,0.0012641997,0.002241318,0.063383795,0.46646023,0.34223187,0.09051926,0.03740485
0,0.0014085701,0.0020231903,0.058183536,0.4829116,0.34953305,0.07763651,0.031735267
0,0.00096919603,0.0020373715,0.05342764,0.49788427,0.34493676,0.07209204,0.031659227
0,0.0009566501,0.002408144,0.058516182,0.48522192,0.34545878,0.07813667,0.032666463
-1,0.0027211714,0.0036994072,0.021406805,0.6191967,0.3211289,0.031282447,0.0069851344
0,0.00345571,0.003965648,0.072174415,0.4480702,0.33295178,0.10393975,0.042863898
0,0.0020806396,0.002885202,0.05221238,0.50142795,0.34073305,0.07874505,0.026881592
0,0.0024392037,0.0024114682,0.050944123,0.50249106,0.3457537,0.075224325,0.025586821
0,0.001335107,0.0021801956,0.044349037,0.5260098,0.34447473,0.06205374,0.023112679
0,0.0010582368,0.0020968595,0.043096073,0.5346897,0.34237373,0.057957415,0.021883033
0,0.0013609731,0.0025500758,0.0489608,0.5174677,0.3456497,0.06518826,0.02273358
-1,0.0024637547,0.00368611,0.019236576,0.63055855,0.31557587,0.0289722,0.0056568473
1,0.0027675293,0.0038232987,0.048774347,0.4678936,0.33865649,0.03267794,0.11199757
0,0.003310838,0.0028273626,0.047483113,0.5141528,0.34543237,0.0702378,0.022693848
0,0.0016916567,0.002456258,0.050028857,0.5027696,0.34887457,0.07317064,0.02515633
0,0.00056682184,0.002129172,0.042722095,0.5267001,0.34987074,0.059451837,0.021255279
0,0.0014436106,0.002079662,0.0415849,0.53513324,0.35054412,0.054099064,0.01863866
0,0.0013544953,0.0025425195,0.044279054,0.5294527,0.34666586,0.058651138,0.02095131
-1,0.0021976945,0.0039882273,0.016358819,0.63341683,0.32093602,0.02467471,0.0046135434
0,0.0022735521,0.004178773,0.056123786,0.49971423,0.33844215,0.078749985,0.026969815
0,0.0020514012,0.0027656495,0.05194819,0.49365726,0.3520823,0.075827576,0.026484728
0,0.0016512383,0.002284643,0.0512099,0.4938464,0.35665455,0.07254859,0.025740594
0,0.001167302,0.0020179106,0.046299566,0.5148551,0.35602865,0.060897887,0.021918789
0,0.0009219762,0.0019724434,0.043028668,0.5281541,0.3528231,0.05548145,0.020512722
0,0.0013561838,0.002373369,0.050396055,0.5093133,0.35258222,0.064060956,0.023647534
-1,0.0075516463,0.0038223143,0.0163356,0.63331115,0.32055125,0.024718346,0.0050836853
2,0.007552157,0.0046319235,0.0050955303,0.40744781,0.43050984,0.0014598682,0.15548694
0,0.0022257897,0.0032782992,0.07386229,0.42280558,0.35165793,0.096188724,0.05548556
0,0.0019818866,0.0024439665,0.07390308,0.42092028,0.34734645,0.10352306,0.054307144
0,0.0010358377,0.0022772544,0.061954703,0.46151894,0.35634258,0.08212254,0.038061265
0,0.0009288243,0.0021541421,0.05587981,0.48027912,0.35775813,0.072543606,0.033539277
0,0.0018071492,0.0023841313,0.05873847,0.46525484,0.35998347,0.07998581,0.03603748
-1,0.004261874,0.0042215795,0.023926634,0.60028774,0.3293051,0.036392443,0.010088116
0,0.004604852,0.0044063954,0.069353074,0.44067347,0.33937594,0.103968896,0.046628628
1,0.0019137094,0.0029989728,0.040559355,0.47360623,0.3413172,0.022948887,0.12156841
1,0.0044123903,0.0025487049,0.04575804,0.4723107,0.33822206,0.029465647,0.11424364
0,0.004064534,0.0026863345,0.0669016,0.45693827,0.3355725,0.09751199,0.04307565
0,0.0026211534,0.0026900966,0.06270413,0.46814752,0.3361963,0.091347866,0.041604154
